sequence,mode,stage,candidate_key,S,M,N,F,i,u0,status,strict_evidence,feasible,c1,c2,p30_reachable,p30_all,max_delay_s,reachable_count,late_reachable_count,unreachable_count,reason
47,saturation,low,"[40,37,10,50.0,0.0,0.0]",1480,40,37,10,50.0,0.0,rejected,True,False,0.9758292658742493,0.8933919036486575,0.6208445642407907,0.49855699855699853,0.0647659448865211,4452,1688,1092,coverage_upper_bound
48,saturation,low,"[40,37,11,50.0,0.0,0.0]",1480,40,37,11,50.0,0.0,rejected,True,False,0.9857909953573276,0.882443812263728,0.6163720538720538,0.6163720538720538,0.061661644882620374,9504,3646,0,coverage_upper_bound
49,saturation,low,"[40,37,12,50.0,0.0,0.0]",1480,40,37,12,50.0,0.0,rejected,True,False,0.9845569465910011,0.8640206093397896,0.6393524283935242,0.5893021120293848,0.0632416611607401,8030,2896,682,coverage_upper_bound
50,saturation,low,"[40,37,13,50.0,0.0,0.0]",1480,40,37,13,50.0,0.0,rejected,True,False,0.9861703227180659,0.858448749214613,0.6176880222841226,0.5523038605230386,0.06402459860897668,8616,3294,1020,coverage_upper_bound
51,saturation,low,"[40,37,14,50.0,0.0,0.0]",1480,40,37,14,50.0,0.0,rejected,True,False,0.9743770385930468,0.8480315057116035,0.6299499317250796,0.5242424242424243,0.06089290673676426,4394,1626,886,coverage_upper_bound
52,saturation,low,"[40,37,15,50.0,0.0,0.0]",1480,40,37,15,50.0,0.0,rejected,True,False,0.9697926949042321,0.8459005391046711,0.6225382932166302,0.5224977043158862,0.06521126766479915,3656,1380,700,coverage_upper_bound
53,saturation,low,"[40,37,16,50.0,0.0,0.0]",1480,40,37,16,50.0,0.0,rejected,True,False,0.9624057776876299,0.8466830577473416,0.6338526912181303,0.5022446689113356,0.06336046564381431,2824,1034,740,coverage_upper_bound
54,saturation,low,"[40,37,17,50.0,0.0,0.0]",1480,40,37,17,50.0,0.0,rejected,True,False,0.9582821480536803,0.8422028161653133,0.6263736263736264,0.5037878787878788,0.06858544127277136,2548,952,620,coverage_upper_bound
55,saturation,low,"[40,37,18,50.0,0.0,0.0]",1480,40,37,18,50.0,0.0,rejected,True,False,0.965016710450753,0.8400874730649821,0.6542119565217391,0.5031347962382445,0.0684077259819107,2944,1018,884,coverage_upper_bound
56,saturation,low,"[40,37,19,50.0,0.0,0.0]",1480,40,37,19,50.0,0.0,rejected,True,False,0.9625519871400787,0.8551224894279222,0.6324137931034483,0.5145903479236813,0.0736657845242147,2900,1066,664,coverage_upper_bound
57,saturation,low,"[40,37,20,50.0,0.0,0.0]",1480,40,37,20,50.0,0.0,rejected,True,False,0.9634699962633576,0.8635425278800815,0.6445623342175066,0.5454545454545454,0.07226957576939816,3016,1072,548,coverage_upper_bound
58,saturation,low,"[40,37,21,50.0,0.0,0.0]",1480,40,37,21,50.0,0.0,rejected,True,False,0.9769119613141245,0.8600092938556676,0.6519358623386782,0.5740358126721763,0.07833506134422843,5114,1780,694,coverage_upper_bound
59,saturation,low,"[40,37,22,50.0,0.0,0.0]",1480,40,37,22,50.0,0.0,rejected,True,False,0.9820144300966489,0.8624209845599851,0.6672816728167281,0.5871212121212122,0.07737141574701879,6504,2164,888,coverage_upper_bound
60,saturation,low,"[40,37,23,50.0,0.0,0.0]",1480,40,37,23,50.0,0.0,rejected,True,False,0.98378656783698,0.8758382364134956,0.6580694586312564,0.6197691197691197,0.08257353547354367,7832,2678,484,coverage_upper_bound
61,saturation,low,"[40,37,24,50.0,0.0,0.0]",1480,40,37,24,50.0,0.0,active,False,False,0.9914408287734247,0.8793541222398309,0.6641245630759454,0.6529209621993127,0.08316146911412378,12588,4228,216,incomplete
62,saturation,low,"[40,37,25,50.0,0.0,0.0]",1480,40,37,25,50.0,0.0,active,False,False,0.9936641958151898,0.8983456276802442,0.6526085598250547,0.6526085598250547,0.08862394150994836,12804,4448,0,incomplete
63,saturation,low,"[40,37,26,50.0,0.0,0.0]",1480,40,37,26,50.0,0.0,active,False,False,0.9923097398607346,0.8958733349984312,0.6501567398119122,0.647922524211184,0.09022836382381148,12760,4464,44,incomplete
64,saturation,low,"[40,37,27,50.0,0.0,0.0]",1480,40,37,27,50.0,0.0,active,False,False,0.9966397652579735,0.9103543134279284,0.6493280632411067,0.6415182755388941,0.09465971066817978,12650,4436,154,incomplete
65,saturation,low,"[40,37,28,50.0,0.0,0.0]",1480,40,37,28,50.0,0.0,active,False,False,0.9935108977236238,0.9156568084272635,0.6408934707903781,0.6408934707903781,0.09713586467684927,12804,4598,0,incomplete
66,saturation,low,"[40,37,29,50.0,0.0,0.0]",1480,40,37,29,50.0,0.0,active,False,False,0.9973802541972868,0.9195204443865109,0.6403300015865461,0.6304279912527335,0.09874269846149937,12606,4534,198,incomplete
67,saturation,low,"[40,37,30,50.0,0.0,0.0]",1480,40,37,30,50.0,0.0,active,False,False,0.9919447469167002,0.9304442694800155,0.6251772490940601,0.61980631052796,0.10395623941894643,12694,4758,110,incomplete
68,saturation,low,"[40,37,31,50.0,0.0,0.0]",1480,40,37,31,50.0,0.0,active,False,False,0.9954096578121122,0.9269811821837639,0.6129549462882796,0.5971571383942518,0.10560729571411465,12474,4828,330,incomplete
69,saturation,low,"[40,37,32,50.0,0.0,0.0]",1480,40,37,32,50.0,0.0,active,False,False,1.0,0.9382236223428371,0.605748203686348,0.605748203686348,0.108815669556179,12804,5048,0,incomplete
70,saturation,low,"[40,37,33,50.0,0.0,0.0]",1480,40,37,33,50.0,0.0,active,False,False,0.9970565847319509,0.9355782320043481,0.6148702435917848,0.6032489846922836,0.1131064086965038,12562,4838,242,incomplete
71,saturation,low,"[40,37,34,50.0,0.0,0.0]",1480,40,37,34,50.0,0.0,active,False,False,1.0,0.9408120353901239,0.5923149015932521,0.5923149015932521,0.10688921138304643,12804,5220,0,incomplete
72,saturation,low,"[40,37,35,50.0,0.0,0.0]",1480,40,37,35,50.0,0.0,active,False,False,0.9958053747573401,0.9483386875480353,0.5600062588014395,0.5590440487347704,0.12046122123294964,12782,5624,22,incomplete
73,saturation,low,"[40,37,36,50.0,0.0,0.0]",1480,40,37,36,50.0,0.0,active,False,False,1.0,0.9421227302318372,0.6966572945954389,0.6966572945954389,0.09706049920659109,12804,3884,0,incomplete
74,saturation,low,"[40,37,37,50.0,0.0,0.0]",1480,40,37,37,50.0,0.0,active,False,False,0.9986460159167204,0.9443694295625585,0.6393314589190878,0.6393314589190878,0.07362734710677676,12804,4618,0,incomplete
75,saturation,low,"[40,37,38,50.0,0.0,0.0]",1480,40,37,38,50.0,0.0,active,False,False,0.9991267422508332,0.9402885751911229,0.6205873164636051,0.6205873164636051,0.0829853543782797,12804,4858,0,incomplete
76,saturation,low,"[40,37,39,50.0,0.0,0.0]",1480,40,37,39,50.0,0.0,active,False,False,0.9980214748338988,0.9433228239587224,0.647922524211184,0.647922524211184,0.08221872536228779,12804,4508,0,incomplete
77,saturation,medium,"[40,37,36,50.0,0.0,0.0]",1480,40,37,36,50.0,0.0,rejected,True,False,0.9983874985579831,0.9452908972191354,0.7949357401103107,0.7949357401103107,0.09711922006033245,151572,31082,0,coverage_upper_bound
78,saturation,medium,"[37,40,35,50.0,0.0,0.0]",1480,37,40,35,50.0,0.0,rejected,True,False,0.997024129347088,0.9620172968235654,0.8009910907269756,0.7958932453314476,0.06916634226378696,75876,15100,486,coverage_upper_bound
79,saturation,medium,"[37,40,34,50.0,0.0,0.0]",1480,37,40,34,50.0,0.0,verified,False,True,0.9997283001459868,0.9601030272415946,0.8163385435310027,0.8163385435310027,0.07334477709377943,251430,46178,0,coverage_pass
80,saturation,medium,"[37,40,32,50.0,0.0,0.0]",1480,37,40,32,50.0,0.0,verified,False,True,0.9998154098441893,0.9682288326673308,0.8114783438730462,0.8114783438730462,0.07770595905541183,251430,47400,0,coverage_pass
81,saturation,medium,"[37,40,33,50.0,0.0,0.0]",1480,37,40,33,50.0,0.0,verified,False,True,0.9995819198950391,0.9672494052341282,0.8130889510199855,0.811963568388816,0.07492399930667874,251082,46930,348,coverage_pass
82,saturation,medium,"[37,40,30,50.0,0.0,0.0]",1480,37,40,30,50.0,0.0,verified,False,True,0.9996778573438977,0.9688347477752928,0.8058235425223677,0.8052658791711411,0.08371355840877907,251256,48788,174,coverage_pass
83,saturation,medium,"[37,40,5,50.0,0.0,0.0]",1480,37,40,5,50.0,0.0,rejected,True,False,0.9965800760137759,0.9215037947391521,0.8071003362018445,0.8071003362018445,0.06793915916078086,64842,12508,0,coverage_upper_bound
84,saturation,medium,"[37,40,1,50.0,0.0,0.0]",1480,37,40,1,50.0,0.0,rejected,True,False,0.996879825337759,0.9456423882875934,0.7961702363163429,0.7961702363163429,0.07029384192734,72276,14732,0,coverage_upper_bound
85,saturation,medium,"[37,40,2,50.0,0.0,0.0]",1480,37,40,2,50.0,0.0,rejected,True,False,0.9981869235274377,0.936768888644361,0.8192509636104283,0.8096673565493866,0.07665499757511694,131796,23822,1560,coverage_upper_bound
86,saturation,medium,"[40,37,5,50.0,0.0,0.0]",1480,40,37,5,50.0,0.0,rejected,True,False,0.9917256142248009,0.9166891244162588,0.7184014869888475,0.7184014869888475,0.07444637211539622,19368,5454,0,coverage_upper_bound
87,saturation,medium,"[40,37,0,50.0,0.0,0.0]",1480,40,37,0,50.0,0.0,rejected,True,False,0.9957998992326227,0.9429979055865629,0.770679511983259,0.7697980754062155,0.08406403077822219,50654,11616,58,coverage_upper_bound
88,saturation,medium,"[37,40,0,50.0,0.0,0.0]",1480,37,40,0,50.0,0.0,rejected,True,False,0.9984610746312106,0.9500385719007787,0.8105773468488321,0.8059395032051282,0.08160945362111321,158830,30086,914,coverage_upper_bound
89,saturation,medium,"[37,40,31,50.0,0.0,0.0]",1480,37,40,31,50.0,0.0,verified,False,True,0.9997609746247968,0.9691573442693413,0.807726943091893,0.8062363282026807,0.08983088920244242,250966,48254,464,coverage_pass
90,saturation,medium,"[37,40,29,50.0,0.0,0.0]",1480,37,40,29,50.0,0.0,verified,False,True,0.9994774705095234,0.9696997895906436,0.7943822287497705,0.7916398202282942,0.09279928045006644,250562,51520,868,coverage_pass
91,saturation,medium,"[37,40,20,50.0,0.0,0.0]",1480,37,40,20,50.0,0.0,rejected,True,False,0.9978132467403968,0.9344325682647903,0.7519893899204244,0.7519893899204244,0.08364650329894144,108576,26928,0,coverage_upper_bound
92,saturation,medium,"[40,37,3,50.0,0.0,0.0]",1480,40,37,3,50.0,0.0,rejected,True,False,0.9964537040601186,0.924187450325668,0.7802578410621512,0.7802578410621512,0.08694377734149823,62364,13704,0,coverage_upper_bound
93,saturation,medium,"[40,37,1,50.0,0.0,0.0]",1480,40,37,1,50.0,0.0,rejected,True,False,0.9983632958324271,0.935449888725546,0.7938213476062081,0.7938213476062081,0.08071143236521482,149094,30740,0,coverage_upper_bound
94,saturation,medium,"[37,40,22,50.0,0.0,0.0]",1480,37,40,22,50.0,0.0,rejected,True,False,0.9982954797549575,0.9467944534759285,0.7451405712997915,0.7430160535962583,0.08722137902794858,141992,36188,406,coverage_upper_bound
95,saturation,medium,"[37,40,36,50.0,0.0,0.0]",1480,37,40,36,50.0,0.0,rejected,True,False,0.9982363967829839,0.9514070711574495,0.8000407961068858,0.7990279536095226,0.07189412531141778,137268,27448,174,coverage_upper_bound
96,saturation,medium,"[37,40,3,50.0,0.0,0.0]",1480,37,40,3,50.0,0.0,rejected,True,False,0.9944128769416362,0.9370435549771271,0.7659574468085106,0.7608955734062554,0.06376311193414706,34874,8162,232,coverage_upper_bound
97,saturation,medium,"[37,40,6,50.0,0.0,0.0]",1480,37,40,6,50.0,0.0,rejected,True,False,0.9961083792979077,0.9170342693575623,0.8119061540710423,0.7981964503844219,0.058624177942295616,54728,10294,940,coverage_upper_bound
98,saturation,medium,"[37,40,24,50.0,0.0,0.0]",1480,37,40,24,50.0,0.0,rejected,True,False,0.9984593423180212,0.9583925611866313,0.7334440209803403,0.7334440209803403,0.096314444670675,159006,42384,0,coverage_upper_bound
99,saturation,medium,"[37,40,19,50.0,0.0,0.0]",1480,37,40,19,50.0,0.0,rejected,True,False,0.9966328205195506,0.9230168238422617,0.7594233001405095,0.7482919488337095,0.08358554879886755,65476,15752,974,coverage_upper_bound
100,saturation,medium,"[37,40,21,50.0,0.0,0.0]",1480,37,40,21,50.0,0.0,rejected,True,False,0.9965030003025687,0.9425370096795816,0.7416026485808878,0.7312604988748376,0.08846235062646912,62222,16078,880,coverage_upper_bound
101,saturation,medium,"[40,37,24,50.0,0.0,0.0]",1480,40,37,24,50.0,0.0,rejected,True,False,0.9916452963763394,0.8793872093757363,0.6972169910023017,0.688145394465097,0.08316146911412378,19116,5788,252,coverage_upper_bound
102,saturation,medium,"[40,37,25,50.0,0.0,0.0]",1480,40,37,25,50.0,0.0,rejected,True,False,0.9927936166112448,0.8972788515682375,0.694704818286466,0.694704818286466,0.08862394150994836,24324,7426,0,coverage_upper_bound
103,saturation,medium,"[40,37,4,50.0,0.0,0.0]",1480,40,37,4,50.0,0.0,rejected,True,False,0.994316457002068,0.9140035579731738,0.7609189900682063,0.7429606262413834,0.08111317735641228,33428,7992,808,coverage_upper_bound
104,saturation,medium,"[40,37,2,50.0,0.0,0.0]",1480,40,37,2,50.0,0.0,rejected,True,False,0.9968125393108415,0.931178959664114,0.7842029403286249,0.7713507995916978,0.07397983184584783,69380,14972,1156,coverage_upper_bound
105,saturation,medium,"[37,40,23,50.0,0.0,0.0]",1480,37,40,23,50.0,0.0,rejected,True,False,0.9986079314105657,0.9511133683319353,0.7430860303528981,0.7343497656558812,0.09282536830524132,175008,44962,2082,coverage_upper_bound
106,saturation,medium,"[37,40,7,50.0,0.0,0.0]",1480,37,40,7,50.0,0.0,rejected,True,False,0.994245902181967,0.9103969892833442,0.7723123123123123,0.7707846310615597,0.06321899281044459,33300,7582,66,coverage_upper_bound
107,saturation,medium,"[40,37,26,50.0,0.0,0.0]",1480,40,37,26,50.0,0.0,rejected,True,False,0.9924803603689674,0.8941139151904837,0.6896093542386393,0.6854199683042789,0.09022836382381148,22578,7008,138,coverage_upper_bound
108,saturation,medium,"[40,37,39,50.0,0.0,0.0]",1480,40,37,39,50.0,0.0,rejected,True,False,0.9986596788004268,0.9432918661471136,0.7919945372959615,0.7919945372959615,0.0869982520540511,184524,38382,0,coverage_upper_bound
109,saturation,medium,"[37,40,4,50.0,0.0,0.0]",1480,37,40,4,50.0,0.0,rejected,True,False,0.9952658513801462,0.9267058333543643,0.7819239500567536,0.764037155136559,0.06962177677057356,42288,9222,990,coverage_upper_bound
110,saturation,medium,"[37,40,25,50.0,0.0,0.0]",1480,37,40,25,50.0,0.0,rejected,True,False,0.9986885910363915,0.9600198676815,0.7269497905731404,0.7236119907114207,0.10044948806105772,188610,51500,870,coverage_upper_bound
111,saturation,medium,"[40,37,8,50.0,0.0,0.0]",1480,40,37,8,50.0,0.0,rejected,True,False,0.9913625942326718,0.8891235035633934,0.72334455667789,0.6968320899556709,0.07106608166570608,17820,4930,678,coverage_upper_bound
112,saturation,medium,"[40,37,27,50.0,0.0,0.0]",1480,40,37,27,50.0,0.0,rejected,True,False,0.9953943172738391,0.9121913437855512,0.711681929863748,0.707761339908481,0.09465971066817978,44770,12908,248,coverage_upper_bound
113,saturation,medium,"[40,37,28,50.0,0.0,0.0]",1480,40,37,28,50.0,0.0,rejected,True,False,0.9950198598115333,0.915526139582575,0.6994108035846908,0.6924509803921569,0.09713586467684927,40394,12142,406,coverage_upper_bound
114,saturation,medium,"[40,37,37,50.0,0.0,0.0]",1480,40,37,37,50.0,0.0,rejected,True,False,0.9993328914742169,0.9438867502817051,0.7889775525242178,0.7889775525242178,0.07702528970230818,222564,46966,0,coverage_upper_bound
115,saturation,medium,"[37,40,18,50.0,0.0,0.0]",1480,37,40,18,50.0,0.0,rejected,True,False,0.9937946833185873,0.9217303630142156,0.7381647762005026,0.7209286898839138,0.07786796191182277,29446,7710,704,coverage_upper_bound
116,saturation,medium,"[40,37,7,50.0,0.0,0.0]",1480,40,37,7,50.0,0.0,rejected,True,False,0.9960283949621609,0.9006550660664165,0.7781317939875553,0.7679985201627821,0.07451436681311964,53356,11838,704,coverage_upper_bound
117,saturation,medium,"[40,37,6,50.0,0.0,0.0]",1480,40,37,6,50.0,0.0,rejected,True,False,0.9941361666312019,0.9014514387787386,0.7541179429146234,0.7352580605614809,0.07756421484526227,31812,7822,816,coverage_upper_bound
118,saturation,medium,"[40,37,29,50.0,0.0,0.0]",1480,40,37,29,50.0,0.0,rejected,True,False,0.996939377417444,0.9206020517630013,0.7038350335497245,0.6985003519029831,0.09877908818954212,73324,21716,560,coverage_upper_bound
119,saturation,medium,"[37,40,26,50.0,0.0,0.0]",1480,37,40,26,50.0,0.0,verified,False,True,0.9998223060263856,0.964042747404871,0.7230004374975142,0.7230004374975142,0.09766042248797649,251430,69646,0,coverage_pass
120,saturation,medium,"[40,37,9,50.0,0.0,0.0]",1480,40,37,9,50.0,0.0,rejected,True,False,0.9901790782898875,0.8931839318628789,0.6420478388585816,0.6369691923397169,0.07078445384814154,14298,5118,114,coverage_upper_bound
121,saturation,medium,"[40,37,38,50.0,0.0,0.0]",1480,40,37,38,50.0,0.0,rejected,True,False,0.9976552208257792,0.9452784058837108,0.7762087123025371,0.7762087123025371,0.0829853543782797,100272,22440,0,coverage_upper_bound
