sequence,mode,stage,candidate_key,S,M,N,F,i,u0,status,strict_evidence,feasible,c1,c2,p30_reachable,p30_all,max_delay_s,reachable_count,late_reachable_count,unreachable_count,reason
11,discover,low,"[120,12,80,50.0,0.0,22.5]",1440,120,12,80,50.0,22.5,deferred,False,False,0.9992341126281734,0.9587028083055115,0.22039987503905029,0.22039987503905029,0.2234827680626722,12804,9982,0,not_promoted_after_low
12,discover,low,"[36,40,30,50.0,0.0,6.75]",1440,36,40,30,50.0,6.75,active,False,False,0.999112762508942,0.9571290448529732,0.6727585129646986,0.6727585129646986,0.07494146107071689,12804,4190,0,incomplete
13,discover,low,"[240,6,200,50.0,0.0,30.0]",1440,240,6,200,50.0,30.0,deferred,False,False,0.9988337631732819,0.9556959742533143,0.13835276132237723,0.11308965948141206,1.4246718445810131,10466,9018,2338,not_promoted_after_low
14,discover,low,"[37,40,31,50.0,0.0,0.0]",1480,37,40,31,50.0,0.0,active,False,False,0.9997930462220569,0.9690291345749841,0.6701611641370677,0.669009684473602,0.08983088920244242,12782,4216,22,incomplete
15,discover,low,"[37,40,31,50.0,0.0,2.25]",1480,37,40,31,50.0,2.25,active,False,False,0.9996895693330853,0.9705419905443242,0.6745423251447348,0.6733833177132146,0.07517928638178586,12782,4160,22,incomplete
16,discover,low,"[37,40,31,50.0,0.0,4.5]",1480,37,40,31,50.0,4.5,active,False,False,0.999534353999628,0.9700008018018781,0.674203171612498,0.6707278975320212,0.08983081200218623,12738,4150,66,incomplete
17,discover,low,"[37,40,31,50.0,0.0,6.75]",1480,37,40,31,50.0,6.75,active,False,False,0.9995879752578973,0.9699175420494729,0.673667711598746,0.6713527022805373,0.07514259789718598,12760,4164,44,incomplete
18,discover,low,"[37,40,30,50.25,0.0,0.0]",1480,37,40,30,50.25,0.0,active,False,False,0.9996510105850841,0.9661450928756216,0.6925960637300843,0.6925960637300843,0.08198545116845997,12804,3936,0,incomplete
19,discover,low,"[37,40,30,50.25,0.0,2.25]",1480,37,40,30,50.25,2.25,active,False,False,0.9997008662157864,0.9679828733057078,0.6966572945954389,0.6966572945954389,0.06653212467603299,12804,3884,0,incomplete
20,discover,low,"[37,40,30,50.25,0.0,4.5]",1480,37,40,30,50.25,4.5,active,False,False,0.9992023099087637,0.9675158410678877,0.6935332708528584,0.6935332708528584,0.08018577308486881,12804,3924,0,incomplete
21,discover,low,"[37,40,30,50.25,0.0,6.75]",1480,37,40,30,50.25,6.75,active,False,False,0.9999002887385955,0.9666450062366712,0.6952514839112778,0.6952514839112778,0.08433859687414319,12804,3902,0,incomplete
22,discover,low,"[37,40,31,50.25,0.0,0.0]",1480,37,40,31,50.25,0.0,active,False,False,0.9997930462220569,0.9681320381045833,0.6732905648568299,0.6721337082161825,0.07513281906484182,12782,4176,22,incomplete
23,discover,low,"[37,40,31,50.25,0.0,4.5]",1480,37,40,31,50.25,4.5,active,False,False,0.999534353999628,0.9691918063947995,0.6767153399277751,0.6732271165260856,0.07512409870441727,12738,4118,66,incomplete
24,discover,low,"[37,40,31,50.25,0.0,2.25]",1480,37,40,31,50.25,2.25,active,False,False,0.999586092444114,0.9692495790464949,0.6746987951807228,0.6735395189003437,0.07251547707451818,12782,4158,22,incomplete
25,discover,low,"[37,40,31,50.25,0.0,6.75]",1480,37,40,31,50.25,6.75,active,False,False,0.9995860924441138,0.9688606256534933,0.6769592476489028,0.6746329272102468,0.07250670269487054,12760,4122,44,incomplete
26,discover,low,"[37,40,32,50.25,0.0,0.0]",1480,37,40,32,50.25,0.0,active,False,False,0.9995261916171381,0.9692207964078434,0.6910340518587941,0.6910340518587941,0.07751672890820721,12804,3956,0,incomplete
27,discover,low,"[37,40,32,50.25,0.0,2.25]",1480,37,40,32,50.25,2.25,active,False,False,0.9994314299405659,0.9677616932943409,0.6891596376132458,0.6891596376132458,0.07742296132400338,12804,3980,0,incomplete
28,discover,low,"[37,40,32,50.25,0.0,6.75]",1480,37,40,32,50.25,6.75,active,False,False,0.9993366682639936,0.9679403792127574,0.6835363948766011,0.6835363948766011,0.07787331016432557,12804,4052,0,incomplete
29,discover,low,"[37,40,32,50.25,0.0,4.5]",1480,37,40,32,50.25,4.5,active,False,False,0.999763095808569,0.968619426373413,0.6850984067478912,0.6850984067478912,0.07779046220942215,12804,4032,0,incomplete
30,discover,low,"[37,40,30,49.75,0.0,4.5]",1480,37,40,30,49.75,4.5,deferred,False,False,0.9994017324315727,0.9637752897917162,0.6676038737894407,0.6676038737894407,0.0771165912610134,12804,4256,0,not_promoted_after_low
31,discover,low,"[37,40,30,49.75,0.0,2.25]",1480,37,40,30,49.75,2.25,active,False,False,0.9997507218464886,0.9627652356862683,0.669009684473602,0.669009684473602,0.06492400250013265,12804,4238,0,incomplete
32,discover,low,"[37,40,31,49.75,0.0,6.75]",1480,37,40,31,49.75,6.75,active,False,False,0.9997431905913546,0.96490233190973,0.6681818181818182,0.6658856607310215,0.07499392180639974,12760,4234,44,incomplete
33,discover,low,"[37,40,30,49.75,0.0,6.75]",1480,37,40,30,49.75,6.75,deferred,False,False,0.9995512993236796,0.9616041885551598,0.6679162761636989,0.6679162761636989,0.07865432022561922,12804,4252,0,not_promoted_after_low
34,discover,low,"[37,40,30,49.75,0.0,0.0]",1480,37,40,30,49.75,0.0,active,False,False,0.9991524542780615,0.963615303870152,0.6693220868478601,0.6693220868478601,0.07832178240563538,12804,4234,0,incomplete
35,discover,low,"[37,40,31,49.75,0.0,0.0]",1480,37,40,31,49.75,0.0,deferred,False,False,0.9997968118496239,0.963117086985623,0.6613988421217337,0.6602624179943768,0.08963858691372158,12782,4328,22,not_promoted_after_low
36,discover,low,"[37,40,31,49.75,0.0,4.5]",1480,37,40,31,49.75,4.5,deferred,False,False,0.9995860924441138,0.9653986952250699,0.6644685193907992,0.6610434239300219,0.08963851385451053,12738,4274,66,not_promoted_after_low
37,discover,low,"[37,40,31,49.75,0.0,2.25]",1480,37,40,31,49.75,2.25,active,False,False,0.9995898580716808,0.9653670842513531,0.669065873885151,0.6679162761636989,0.07507543954443399,12782,4230,22,incomplete
38,discover,low,"[37,40,32,49.75,0.0,4.5]",1480,37,40,32,49.75,4.5,active,False,False,1.0,0.962419645378792,0.6705716963448922,0.6705716963448922,0.07748538805769493,12804,4218,0,incomplete
39,discover,low,"[37,40,32,49.75,0.0,2.25]",1480,37,40,32,49.75,2.25,active,False,False,0.9997157149702829,0.961305281157372,0.6705716963448922,0.6705716963448922,0.07712248238705806,12804,4218,0,incomplete
40,discover,low,"[37,40,32,49.75,0.0,6.75]",1480,37,40,32,49.75,6.75,active,False,False,0.9996683341319966,0.9612718642152324,0.6726023117775695,0.6726023117775695,0.07756564347690051,12804,4192,0,incomplete
41,discover,low,"[37,40,32,49.75,0.0,0.0]",1480,37,40,32,49.75,0.0,active,False,False,0.9998104766468553,0.962692312536131,0.6727585129646986,0.6727585129646986,0.07721534911208879,12804,4190,0,incomplete
42,discover,low,"[37,40,31,51.0,0.0,2.25]",1480,37,40,31,51.0,2.25,active,False,False,0.9992756617771993,0.9648285364113341,0.7049772334746428,0.7013433302093096,0.0623993409511012,12738,3758,66,incomplete
43,discover,low,"[37,40,31,51.0,0.0,4.5]",1480,37,40,31,51.0,4.5,active,False,False,0.9992756617771991,0.9642457181756074,0.702151044119956,0.6985317088409871,0.07292664745886876,12738,3794,66,incomplete
44,discover,low,"[37,40,31,51.0,0.0,0.0]",1480,37,40,31,51.0,0.0,active,False,False,0.999534353999628,0.9633994441639931,0.7012539184952978,0.6988441112152453,0.06428566475407176,12760,3812,44,incomplete
45,discover,low,"[37,40,31,51.0,0.0,6.75]",1480,37,40,31,51.0,6.75,active,False,False,0.9993791386661707,0.9640451163708867,0.7046632124352331,0.7010309278350515,0.06385226464494362,12738,3762,66,incomplete
46,discover,low,"[125,12,84,49.75,0.0,7.5]",1500,125,12,84,49.75,7.5,deferred,False,False,0.9995353610295983,0.977520799636635,0.20732279768424347,0.20696657294595439,0.2254206916408463,12782,10132,22,not_promoted_after_low
47,discover,low,"[125,12,84,49.75,0.0,0.0]",1500,125,12,84,49.75,0.0,deferred,False,False,0.9995860924441138,0.9775617760356441,0.20763573775621968,0.20727897532021244,0.2437117841616285,12782,10128,22,not_promoted_after_low
48,discover,low,"[125,12,84,49.75,0.0,15.0]",1500,125,12,84,49.75,15.0,deferred,False,False,0.9996378308885996,0.9770658673352681,0.20626959247648902,0.20556076226179318,0.22194750324097498,12760,10128,44,not_promoted_after_low
49,discover,low,"[125,12,84,49.75,0.0,22.5]",1500,125,12,84,49.75,22.5,deferred,False,False,0.9996895693330853,0.9775793704797372,0.2067398119122257,0.20602936582318027,0.22177879937514375,12760,10122,44,not_promoted_after_low
50,discover,low,"[125,12,84,50.25,0.0,7.5]",1500,125,12,84,50.25,7.5,deferred,False,False,0.9991805706143088,0.977902831371163,0.22946708463949844,0.22867853795688847,0.2221396006166704,12760,9832,44,not_promoted_after_low
51,discover,low,"[125,12,84,50.25,0.0,0.0]",1500,125,12,84,50.25,0.0,deferred,False,False,0.9993337718878251,0.9768789211206887,0.22821316614420062,0.2274289284598563,0.22201775707813656,12760,9848,44,not_promoted_after_low
52,discover,low,"[125,12,84,50.25,0.0,15.0]",1500,125,12,84,50.25,15.0,deferred,False,False,0.9993324353715364,0.9778155716114396,0.2287591926146143,0.22836613558263044,0.2222740548057785,12782,9858,22,not_promoted_after_low
53,discover,low,"[125,12,84,50.25,0.0,22.5]",1500,125,12,84,50.25,22.5,deferred,False,False,0.9990781007553071,0.9767385700573388,0.2259381378552363,0.2247735082786629,0.22209724998904198,12738,9860,66,not_promoted_after_low
54,discover,low,"[125,12,83,50.0,0.0,15.0]",1500,125,12,83,50.0,15.0,deferred,False,False,0.9999025260894646,0.9735904996186048,0.21680724773508278,0.21680724773508278,0.2225253907075257,12804,10028,0,not_promoted_after_low
55,discover,low,"[125,12,83,50.0,0.0,0.0]",1500,125,12,83,50.0,0.0,deferred,False,False,0.9997563152236614,0.972983251643443,0.22571071540143706,0.22571071540143706,0.2223439437962269,12804,9914,0,not_promoted_after_low
56,discover,low,"[125,12,83,50.0,0.0,22.5]",1500,125,12,83,50.0,22.5,deferred,False,False,0.9998050521789291,0.9722654530463316,0.2246173070915339,0.2246173070915339,0.22261113563151969,12804,9928,0,not_promoted_after_low
57,discover,low,"[125,12,83,50.0,0.0,7.5]",1500,125,12,83,50.0,7.5,deferred,False,False,0.9998537891341968,0.9736436615157872,0.22039987503905029,0.22039987503905029,0.22249514678386909,12804,9982,0,not_promoted_after_low
58,discover,low,"[125,12,83,50.25,0.0,15.0]",1500,125,12,83,50.25,15.0,deferred,False,False,0.9998050521789291,0.9743878302232587,0.2310215557638238,0.2310215557638238,0.22269646814607788,12804,9846,0,not_promoted_after_low
59,discover,low,"[125,12,83,50.25,0.0,0.0]",1500,125,12,83,50.25,0.0,deferred,False,False,0.9996101043578581,0.9723175053068305,0.23289597000937207,0.23289597000937207,0.22250361043562616,12804,9822,0,not_promoted_after_low
60,discover,low,"[125,12,83,50.25,0.0,7.5]",1500,125,12,83,50.25,7.5,deferred,False,False,0.9998537891341968,0.9748581104867239,0.23414557950640424,0.23414557950640424,0.2226563666991454,12804,9806,0,not_promoted_after_low
61,discover,low,"[125,12,83,50.25,0.0,22.5]",1500,125,12,83,50.25,22.5,deferred,False,False,0.9997075782683935,0.9728720836819896,0.23180256169946892,0.23180256169946892,0.22277130141027773,12804,9836,0,not_promoted_after_low
62,discover,low,"[125,12,83,49.75,0.0,22.5]",1500,125,12,83,49.75,22.5,deferred,False,False,0.9998537891341968,0.9689101260051178,0.21212121212121213,0.21212121212121213,0.2222356826469625,12804,10088,0,not_promoted_after_low
63,discover,low,"[125,12,83,49.75,0.0,0.0]",1500,125,12,83,49.75,0.0,deferred,False,False,0.999853789134197,0.9688765582637259,0.21524523586379257,0.21524523586379257,0.22218795656190013,12804,10048,0,not_promoted_after_low
64,discover,low,"[125,12,83,49.75,0.0,15.0]",1500,125,12,83,49.75,15.0,deferred,False,False,0.9999025260894646,0.9696852614825672,0.20540456107466418,0.20540456107466418,0.22236771672892722,12804,10174,0,not_promoted_after_low
65,discover,low,"[125,12,83,49.75,0.0,7.5]",1500,125,12,83,49.75,7.5,deferred,False,False,0.9999025260894644,0.9699612140314482,0.20759137769447047,0.20759137769447047,0.22233763136656812,12804,10146,0,not_promoted_after_low
66,discover,low,"[60,25,15,51.0,0.0,10.8]",1500,60,25,15,51.0,10.8,deferred,False,False,0.9988617542213136,0.9678422934362002,0.43905138339920946,0.4337706966572946,0.15878757133975704,12650,7096,154,not_promoted_after_low
67,discover,low,"[60,25,15,51.0,0.0,7.2]",1500,60,25,15,51.0,7.2,deferred,False,False,0.9986030619988849,0.9671299586378004,0.44764890282131664,0.44611059044048734,0.14934554997739724,12760,7048,44,not_promoted_after_low
68,discover,low,"[60,25,15,51.0,0.0,0.0]",1500,60,25,15,51.0,0.0,deferred,False,False,0.9988100157768275,0.9671977606837643,0.4385770750988142,0.4333020930959075,0.14951244450908752,12650,7102,154,not_promoted_after_low
69,discover,low,"[60,25,15,51.0,0.0,3.6]",1500,60,25,15,51.0,3.6,deferred,False,False,0.9984478466654282,0.9669679920094714,0.4483687044662654,0.4422055607622618,0.14949234005059076,12628,6966,176,not_promoted_after_low
70,discover,low,"[125,12,83,51.0,0.0,22.5]",1500,125,12,83,51.0,22.5,deferred,False,False,1.0,0.9688745018538969,0.2555451421430803,0.2555451421430803,0.21334551132106083,12804,9532,0,not_promoted_after_low
71,discover,low,"[125,12,83,51.0,0.0,0.0]",1500,125,12,83,51.0,0.0,deferred,False,False,1.0,0.9683373274679639,0.2541393314589191,0.2541393314589191,0.21334803717409803,12804,9550,0,not_promoted_after_low
72,discover,low,"[125,12,83,51.0,0.0,15.0]",1500,125,12,83,51.0,15.0,deferred,False,False,1.0,0.9687076663370263,0.24617307091533897,0.24617307091533897,0.22033633307777167,12804,9652,0,not_promoted_after_low
73,discover,low,"[125,12,83,51.0,0.0,7.5]",1500,125,12,83,51.0,7.5,deferred,False,False,1.0,0.9678503027103138,0.2494532958450484,0.2494532958450484,0.19553303713083484,12804,9610,0,not_promoted_after_low
74,discover,low,"[250,6,208,50.0,0.0,0.0]",1500,250,6,208,50.0,0.0,deferred,False,False,0.9994586473226372,0.9682952982359597,0.23211496407372695,0.11605748203686347,0.5255201785421431,6402,4916,6402,not_promoted_after_low
75,discover,low,"[250,6,208,50.0,0.0,30.0]",1500,250,6,208,50.0,30.0,deferred,False,False,0.9992532071627305,0.9672720774460385,0.2322661644695543,0.11558887847547641,0.5254773801579509,6372,4892,6432,not_promoted_after_low
76,discover,low,"[250,6,208,50.0,0.0,15.0]",1500,250,6,208,50.0,15.0,deferred,False,False,0.9996041209801148,0.9612980255995103,0.22173228346456694,0.10996563573883161,0.5254668909671057,6350,4942,6454,not_promoted_after_low
77,discover,low,"[250,6,208,50.0,0.0,45.0]",1500,250,6,208,50.0,45.0,deferred,False,False,0.9996021265208672,0.9613552581628293,0.22561169367651732,0.11090284286160575,0.5253912354307062,6294,4874,6510,not_promoted_after_low
78,discover,low,"[100,15,25,51.0,0.0,6.0]",1500,100,15,25,51.0,6.0,deferred,False,False,0.9998447846665427,0.9622255862899689,0.259381378552363,0.25804436113714463,0.22001634019660055,12738,9434,66,not_promoted_after_low
79,discover,low,"[100,15,25,51.0,0.0,12.0]",1500,100,15,25,51.0,12.0,deferred,False,False,0.9996438338670356,0.9611757413625364,0.2571071540143705,0.2571071540143705,0.176898258468902,12804,9512,0,not_promoted_after_low
80,discover,low,"[100,15,25,51.0,0.0,0.0]",1500,100,15,25,51.0,0.0,deferred,False,False,0.9997473107560071,0.9618148064874574,0.2501955875449851,0.24976569821930647,0.24796178684632744,12782,9584,22,not_promoted_after_low
81,discover,low,"[100,15,25,51.0,0.0,18.0]",1500,100,15,25,51.0,18.0,deferred,False,False,0.9997930462220569,0.9611079591795916,0.2549203373945642,0.2549203373945642,0.17765434431015703,12804,9540,0,not_promoted_after_low
82,discover,low,"[38,40,32,50.0,0.0,0.0]",1520,38,40,32,50.0,0.0,deferred,False,False,1.0,0.976741188642476,0.6669790690409247,0.6669790690409247,0.0741874031047823,12804,4264,0,not_promoted_after_low
83,discover,low,"[38,40,32,50.0,0.0,4.5]",1520,38,40,32,50.0,4.5,deferred,False,False,1.0,0.9752384018277908,0.6629178381755702,0.6629178381755702,0.07624782493684507,12804,4316,0,not_promoted_after_low
84,discover,low,"[38,40,32,50.0,0.0,2.25]",1520,38,40,32,50.0,2.25,deferred,False,False,0.9999492685854845,0.975890020640632,0.6641674476726023,0.6641674476726023,0.07416693623154894,12804,4300,0,not_promoted_after_low
85,discover,low,"[38,40,31,50.25,0.0,0.0]",1520,38,40,31,50.25,0.0,active,False,False,1.0,0.9757688106166562,0.6983755076538581,0.6983755076538581,0.0876451454411623,12804,3862,0,incomplete
86,discover,low,"[38,40,32,50.0,0.0,6.75]",1520,38,40,32,50.0,6.75,deferred,False,False,0.9999492685854845,0.9757541293425903,0.6632302405498282,0.6632302405498282,0.07421219178395126,12804,4312,0,not_promoted_after_low
87,discover,low,"[38,40,31,50.25,0.0,6.75]",1520,38,40,31,50.25,6.75,active,False,False,1.0,0.9753001057826117,0.6986879100281163,0.6986879100281163,0.08751557510068456,12804,3858,0,incomplete
88,discover,low,"[38,40,31,50.25,0.0,4.5]",1520,38,40,31,50.25,4.5,active,False,False,1.0,0.9756510118099615,0.6936894720399875,0.6936894720399875,0.08870656476105415,12804,3922,0,incomplete
89,discover,low,"[38,40,31,50.25,0.0,2.25]",1520,38,40,31,50.25,2.25,active,False,False,1.0,0.9751399522861061,0.6965010934083099,0.6965010934083099,0.09573851901595501,12804,3886,0,incomplete
90,discover,low,"[38,40,31,49.75,0.0,0.0]",1520,38,40,31,49.75,0.0,active,False,False,1.0,0.9727890716686657,0.6886910340518588,0.6886910340518588,0.08117402727808665,12804,3986,0,incomplete
91,discover,low,"[38,40,31,49.75,0.0,4.5]",1520,38,40,31,49.75,4.5,active,False,False,1.0,0.9733721281841754,0.6883786316776007,0.6883786316776007,0.0832096240532597,12804,3990,0,incomplete
92,discover,low,"[38,40,31,49.75,0.0,2.25]",1520,38,40,31,49.75,2.25,active,False,False,1.0,0.9732721739867606,0.6886910340518588,0.6886910340518588,0.08902057365194198,12804,3986,0,incomplete
93,discover,low,"[38,40,31,49.75,0.0,6.75]",1520,38,40,31,49.75,6.75,active,False,False,1.0,0.9729677080456978,0.6933770696657294,0.6933770696657294,0.08245948678712667,12804,3926,0,incomplete
94,discover,low,"[38,40,32,50.25,0.0,4.5]",1520,38,40,32,50.25,4.5,active,False,False,0.9997970743419381,0.9748713173466991,0.6752577319587629,0.6752577319587629,0.08076046473068461,12804,4158,0,incomplete
95,discover,low,"[38,40,32,50.25,0.0,0.0]",1520,38,40,32,50.25,0.0,active,False,False,1.0,0.9760770917452298,0.6804123711340206,0.6804123711340206,0.08076969889636262,12804,4092,0,incomplete
96,discover,low,"[38,40,32,50.25,0.0,2.25]",1520,38,40,32,50.25,2.25,active,False,False,0.9998985371709691,0.9753638606239803,0.6800999687597625,0.6800999687597625,0.08075954211092755,12804,4096,0,incomplete
97,discover,low,"[38,40,32,50.25,0.0,6.75]",1520,38,40,32,50.25,6.75,active,False,False,1.0,0.9744450972381951,0.6777569509528273,0.6777569509528273,0.07763777223693762,12804,4126,0,incomplete
98,discover,low,"[38,40,32,49.75,0.0,4.5]",1520,38,40,32,49.75,4.5,deferred,False,False,1.0,0.9711354594884829,0.648391127772571,0.648391127772571,0.06979421458229002,12804,4502,0,not_promoted_after_low
99,discover,low,"[38,40,33,49.75,0.0,0.0]",1520,38,40,33,49.75,0.0,active,False,False,0.9993836795202803,0.9729713352463251,0.6746329272102468,0.6746329272102468,0.08319022827895103,12804,4166,0,incomplete
100,discover,low,"[38,40,33,49.75,0.0,6.75]",1520,38,40,33,49.75,6.75,active,False,False,0.9993836795202803,0.9717183703413477,0.6782255545142143,0.6782255545142143,0.07724743716798305,12804,4120,0,incomplete
101,discover,low,"[38,40,32,49.75,0.0,2.25]",1520,38,40,32,49.75,2.25,deferred,False,False,1.0,0.9709716805292197,0.6471415182755389,0.6471415182755389,0.06948873646485201,12804,4518,0,not_promoted_after_low
102,discover,low,"[38,40,32,49.75,0.0,0.0]",1520,38,40,32,49.75,0.0,deferred,False,False,1.0,0.9714011359464715,0.6472977194626679,0.6472977194626679,0.0679864314803551,12804,4516,0,not_promoted_after_low
103,discover,low,"[38,40,33,49.75,0.0,2.25]",1520,38,40,33,49.75,2.25,active,False,False,0.9993323194803037,0.9719955571493547,0.6769759450171822,0.6769759450171822,0.07714849291968814,12804,4136,0,incomplete
104,discover,low,"[38,40,32,49.75,0.0,6.75]",1520,38,40,32,49.75,6.75,deferred,False,False,1.0,0.9703767280113534,0.6468291159012809,0.6468291159012809,0.06982513125868206,12804,4522,0,not_promoted_after_low
105,discover,low,"[38,40,33,49.75,0.0,4.5]",1520,38,40,33,49.75,4.5,active,False,False,0.9993323194803037,0.9710253790182474,0.6740081224617307,0.6740081224617307,0.08321017756026994,12804,4174,0,incomplete
106,discover,low,"[95,16,23,51.0,0.0,11.25]",1520,95,16,23,51.0,11.25,deferred,False,False,0.9998972799200467,0.9718358628098807,0.28069353327085284,0.28069353327085284,0.17461926636895186,12804,9210,0,not_promoted_after_low
107,discover,low,"[95,16,23,51.0,0.0,5.625]",1520,95,16,23,51.0,5.625,deferred,False,False,0.9998459198800701,0.9712497331124121,0.28147453920649795,0.28147453920649795,0.1930385106771688,12804,9200,0,not_promoted_after_low
108,discover,low,"[95,16,23,51.0,0.0,16.875]",1520,95,16,23,51.0,16.875,deferred,False,False,1.0,0.971931383341987,0.281630740393627,0.281630740393627,0.17456163308066416,12804,9198,0,not_promoted_after_low
109,discover,low,"[95,16,23,51.0,0.0,0.0]",1520,95,16,23,51.0,0.0,deferred,False,False,0.9998972799200467,0.9717374972735281,0.28069353327085284,0.28069353327085284,0.19311136020031966,12804,9210,0,not_promoted_after_low
110,discover,low,"[38,40,32,51.0,0.0,0.0]",1520,38,40,32,51.0,0.0,active,False,False,0.9997970743419381,0.9743032587173601,0.7007185254607935,0.7007185254607935,0.08740117154926283,12804,3832,0,incomplete
111,discover,low,"[38,40,32,51.0,0.0,2.25]",1520,38,40,32,51.0,2.25,active,False,False,0.9997970743419381,0.9742166292696359,0.7014995313964386,0.7014995313964386,0.08731883705748016,12804,3822,0,incomplete
112,discover,low,"[38,40,32,51.0,0.0,6.75]",1520,38,40,32,51.0,6.75,active,False,False,0.9996956115129072,0.9727736141792721,0.7007185254607935,0.7007185254607935,0.08721859502008997,12804,3832,0,incomplete
113,discover,low,"[38,40,32,51.0,0.0,4.5]",1520,38,40,32,51.0,4.5,active,False,False,0.9996956115129072,0.9733316634366997,0.7007185254607935,0.7007185254607935,0.08725796127150968,12804,3832,0,incomplete
114,discover,low,"[38,40,37,50.0,0.0,4.5]",1520,38,40,37,50.0,4.5,active,False,False,0.9996895693330853,0.9663457900557212,0.6679705836332342,0.6668228678537957,0.06963637329966221,12782,4244,22,incomplete
115,discover,low,"[38,40,37,50.0,0.0,6.75]",1520,38,40,37,50.0,6.75,active,False,False,0.9996437754464622,0.9671542582660069,0.670474104209044,0.6693220868478601,0.06954247197124339,12782,4212,22,incomplete
116,discover,low,"[38,40,37,50.0,0.0,0.0]",1520,38,40,37,50.0,0.0,deferred,False,False,0.9997413077775711,0.9664024339397241,0.6660418619181506,0.6660418619181506,0.07104440539475658,12804,4276,0,not_promoted_after_low
117,discover,low,"[38,40,37,50.0,0.0,2.25]",1520,38,40,37,50.0,2.25,active,False,False,0.9996497200043248,0.9668743824259065,0.6692223439211391,0.6680724773508279,0.06955435348074539,12782,4228,22,incomplete
118,discover,low,"[38,40,25,50.0,0.0,2.25]",1520,38,40,25,50.0,2.25,deferred,False,False,1.0,0.9666906929609219,0.6644798500468604,0.6644798500468604,0.09328885579074339,12804,4296,0,not_promoted_after_low
119,discover,low,"[38,40,25,50.0,0.0,6.75]",1520,38,40,25,50.0,6.75,deferred,False,False,1.0,0.9661668087193638,0.6646360512339894,0.6646360512339894,0.09338902915951423,12804,4294,0,not_promoted_after_low
120,discover,low,"[38,40,25,50.0,0.0,0.0]",1520,38,40,25,50.0,0.0,deferred,False,False,1.0,0.9656342180590147,0.6643236488597314,0.6643236488597314,0.09340359071686644,12804,4298,0,not_promoted_after_low
121,discover,low,"[38,40,37,51.0,0.0,6.75]",1520,38,40,37,51.0,6.75,active,False,False,0.9998447846665427,0.9658066512662699,0.7025929397063417,0.7025929397063417,0.06940016575259805,12804,3808,0,incomplete
122,discover,low,"[38,40,25,50.0,0.0,4.5]",1520,38,40,25,50.0,4.5,deferred,False,False,1.0,0.9660535019392024,0.6657294595438925,0.6657294595438925,0.09329840427714707,12804,4280,0,not_promoted_after_low
